via,barrio
CL RAMBLA SALADA,COBATILLAS
CL RAMBLA,SANGONERA VERDE
CL RAMBLA SORDO,SANTO ANGEL
CL RAMBLA,TORREAGUERA
CL RAMBLA VALLE,ALBERCA LA
CL RAMIREZ PAGAN,MURCIA
CL RAMON CAJAL,SUCINA
CL RAMON CAMPOAMOR,RAMOS LOS
CL RAMON DEL VALLE INCLAN,GUADALUPE
CL RAMON GALLUD,MURCIA
CL RAMON GAYA,CABEZO TORRES
CL RAMON GAYA,PUNTAL EL
CL RAMON MANZANERA,RAAL EL
CL RAMON MENARGUEZ,ZARANDONA
CL RAMON TUREGANO PLATERO,ZARANDONA
CL RAMON VALLE INCLAN,MURCIA
CL RAMON Y CAJAL,ALGEZARES
CL RAMON Y CAJAL,CABEZO TORRES
CL RAMON Y CAJAL,EL PALMAR
CL RAMON Y CAJAL,ESPARRAGAL
CL RAMON Y CAJAL,GARRES LOS
CL RAMON Y CAJAL,GUADALUPE
CL RAMON Y CAJAL,LOBOSILLO
CL RAMON Y CAJAL,PUENTE TOCINOS
CL RAMON Y CAJAL,RAMOS LOS
CL RAMON Y CAJAL,SANGONERA SECA
CL RAMON Y CAJAL,SANGONERA VERDE
CL RAMOS,TORREAGUERA
CL RAQUEL,CHURRA
CL RAYA DEL REINO,RAAL EL
CL REAL,CHURRA
CL REAL,JAVALI NUEVO
CL REAL,LOBOSILLO
CL REBECA,CHURRA
CL RECTOR FRANCISCO SABATER,CABEZO TORRES
CL REFORMATORIO,MURCIA
CL REGALICIAR,MURCIA
CL REGIDOR ALONSO FAJARDO,MURCIA
CL REGION MURCIA,NONDUERMAS
CL REINA DE SABA,SANGONERA SECA
CL REINA FABIOLA DE BELGICA,CABEZO TORRES
CL REINA SOFIA,CABEZO TORRES
CL REINA SOFIA,CHURRA
CL REINA SOFIA,ESPARRAGAL
CL REINA SOFIA,LLANO BRUJAS
CL REINA SOFIA,MURCIA
CL REINA SOFIA,SUCINA
CL REINA SOFIA,ZENETA
CL REINA VICTORIA,JAVALI NUEVO
CL REINA VIOLANTE,MURCIA
CL REJAS,SANGONERA VERDE
CL RELOJ,ALQUERIAS
CL REMEDIOS,PUNTAL EL
CL REMEDIOS,SUCINA
CL RENACIMIENTO,MURCIA
CL RENTO,ALBERCA LA
CL REPARCELACION MIRAVETE,TORREAGUERA
CL REPARC UA 573,EL PALMAR
CL REPUBLICA ARGENTINA,EL PALMAR
CL RESIDENCIAL AGUA Y SOL A,GEA Y TRUYOLS
CL RESIDENCIAL AGUA Y SOL C,GEA Y TRUYOLS
CL RESIDENCIAL AGUA Y SOL D,GEA Y TRUYOLS
CL RESIDENCIAL AGUA Y SOL E,GEA Y TRUYOLS
CL RESIDENCIAL AGUA Y SOL F,GEA Y TRUYOLS
CL RESIDENCIAL AGUA Y SOL G,GEA Y TRUYOLS
CL RESIDENCIAL SAN GINES,SAN GINES
CL RETAMA - TORREGUIL,SANGONERA VERDE
CL RETIRO,GARRES LOS
CL REVOLCADORES,CABEZO TORRES
CL REX PLANES,MURCIA
CL REYES CATOLICOS,CABEZO TORRES
CL REYES CATOLICOS,CASILLAS
CL REYES CATOLICOS,MONTEAGUDO
CL REYES CATOLICOS,PUNTAL EL
CL REYES CATOLICOS,RAAL EL
CL REYES GODOS,CABEZO TORRES
CL REYES,SANGONERA VERDE
CL REY LOBO,MONTEAGUDO
CL REY LOBO,MURCIA
CL REY PEDRO I,MURCIA
CL RIAZA,ALJUCER
CL RIBADESELLA,ESPARRAGAL
CL RICARDO CODORNIU,CABEZO TORRES
CL RICARDO CODORNIU,MURCIA
CL RICARDO GIL,MURCIA
CL RICARDO GIL,PUNTAL EL
CL RICARDO ZAMORA,MURCIA
CL RINCON COCO,CHURRA
CL RINCON DE LOS COBOS,RAAL EL
CL RINCON GALLEGO,TORREAGUERA
CL RINCON MERINO,ALJUCER
CL RINCON MORATOS,CHURRA
CL RINCON TITO,CHURRA
CL RIO ARGOS,MURCIA
CL RIO ARLANZA,ZARANDONA
CL RIO BENAMOR,MURCIA
CL RIO DUERO,COBATILLAS
CL RIO DUERO,LOBOSILLO
CL RIO EBRO,COBATILLAS
CL RIO EBRO,LOBOSILLO
CL RIO EBRO,MURCIA
CL RIO FRIO,MURCIA
CL RIO GUADALENTIN,CABEZO TORRES
CL RIO GUADALENTIN,GARRES LOS
CL RIO GUADALENTIN,SANGONERA SECA
CL RIO GUADALENTIN,SANGONERA VERDE
CL RIO GUADALQUIVIR,COBATILLAS
CL RIO GUADIANA,LOBOSILLO
CL RIOJA,SANGONERA SECA
CL RIOJA -UR.AGRIDULCE,GUADALUPE
CL RIO JORDAN,SAN BENITO
CL RIO JUCAR,LOBOSILLO
CL RIO MULA,COBATILLAS
CL RIO MULA,MURCIA
CL RIO MUNDO -CABEZO DE T.,MURCIA
CL RIO MUNDO,COBATILLAS
CL RIO MUNDO,EL PALMAR
CL RIO MUNDO,MURCIA
CL RIO MUNDO,PUENTE TOCINOS
CL RIO PLIEGO,MURCIA
CL RIO QUIPAR,MURCIA
CL RIO SEGURA,ALQUERIAS
CL RIO SEGURA,CABEZO TORRES
CL RIO SEGURA,COBATILLAS
CL RIO SEGURA,EL PALMAR
CL RIO SEGURA,ESPARRAGAL
CL RIO SEGURA (ESPINARDO),MURCIA
CL RIO SEGURA,LOBOSILLO
CL RIO SENA,SAN BENITO
CL RIOS,ZARANDONA
CL RIO TAJO,COBATILLAS
CL RIO TAJO,LOBOSILLO
CL RIO TAJO,MURCIA
CL RIO THADER,MURCIA
CL RIQUELME,MURCIA
CL RIQUELME PAREDES,ALQUERIAS
CL ROBLES,MURCIA
CL ROCAMORA,MURCIA
CL ROCAS,ALGEZARES
CL ROCAS,ZENETA
CL ROCIO,ALQUERIAS
CL ROCIO,COBATILLAS
CL ROCIO,MONTEAGUDO
CL ROCIO,MURCIA
CL RODRIGO TRIANA,MURCIA
CL RODRIGUEZ DE LA FUENTE,EL PALMAR
CL RODRIGUEZ FUENTE,BENIAJAN
CL RODRIGUEZ FUENTE,JAVALI VIEJO
CL RODRIGUEZ FUENTE,RAMOS LOS
CL RODRIGUEZ SAHAGUN,CABEZO TORRES
CL ROLINES,SAN BENITO
CL ROMAN ALBERCA,MURCIA
CL ROMERAS,LOBOSILLO
CL ROMERO,COBATILLAS
CL ROMERO,DOLORES LOS
CL ROMERO,EL PALMAR
CL ROMERO,ESPARRAGAL
CL ROMERO,SAN BENITO
CL ROMERO,SANGONERA VERDE
CL ROMEROS,JAVALI NUEVO
CL ROMEROS LOS,RINCON BENISCOR
CL RONCADOR,MURCIA
CL RONDA GARAY,MURCIA
CL RONDA NORTE,JERON.-AVILESES
CL RONDA SUR,MURCIA
CL ROQUE LOPEZ,ALJUCER
CL ROQUE LOPEZ,MURCIA
CL ROSAGRO,ZARANDONA
CL ROSAL,ALGEZARES
CL ROSALEDA,ALGEZARES
CL ROSALEDA CALLE 1,ALGEZARES
CL ROSALEDA CALLE 4,ALGEZARES
CL ROSALEDA,TORREAGUERA
CL ROSALES,ALBERCA LA
CL ROSALES,CASILLAS
CL ROSALES,SANGONERA VERDE
CL ROSALIA CASTRO,BENIAJAN
CL ROSALIA CASTRO,MARTINEZ PUERTO
CL ROSALIA CASTRO,PUENTE TOCINOS
CL ROSALIA CASTRO,ZENETA
CL ROSALIA DE CASTRO,GUADALUPE
CL ROSALIA DE CASTRO,SANGONERA SECA
CL ROSALINDA,SANGONERA VERDE
CL ROSAL,MURCIA
CL ROSAL,SAN BENITO
CL ROSAL,ZARANDONA
CL ROSAOS,GUADALUPE
CL ROSARIO,ALBERCA LA
CL ROSARIO,ALGEZARES
CL ROSARIO,BENIAJAN
CL ROSARIO,CASILLAS
CL ROSARIO,CHURRA
CL ROSARIO DE ROJAS TUCON,MONTEAGUDO
CL ROSARIO,ERA ALTA
CL ROSARIO,ESPARRAGAL
CL ROSARIO,GEA Y TRUYOLS
CL ROSARIO,JAVALI NUEVO
CL ROSARIO,JAVALI VIEJO
CL ROSARIO,LA CUEVA
CL ROSARIO,MURCIA
CL ROSARIO,PUENTE TOCINOS
CL ROSARIO,PUNTAL EL
CL ROSARIO,RAMOS LOS
CL ROSARIO,SANTO ANGEL
CL ROSARIO,SUCINA
CL ROSAS,COBATILLAS
CL ROSENDOS,ZARANDONA
CL ROSILLO,GEA Y TRUYOLS
CL RUBEN CELIS,MURCIA
CL RUBEN DARIO,ESPARRAGAL
CL RUBEN DARIO,LAS LUMBRERAS
CL RUBEN DARIO,MURCIA
CL RUBI,MURCIA
CL RUBIO ARRONIZ,ALQUERIAS
CL RUBIO PINO,ALQUERIAS
CL RUEDO,SAN GINES
CL RUIPEREZ,MURCIA
CL RUIZ,GEA Y TRUYOLS
CL RUIZ HIDALGO,MURCIA
CL SAAVEDRA FAJARDO,ALBERCA LA
CL SAAVEDRA FAJARDO,ALGEZARES
CL SAAVEDRA FAJARDO,GARRES LOS
CL SAAVEDRA FAJARDO,LLANO BRUJAS
CL SAAVEDRA FAJARDO,MURCIA
CL SAAVEDRA FAJARDO,PUENTE TOCINOS
CL SAAVEDRA FAJARDO,SAN GINES
CL SAAVEDRA FAJARDO,SANGONERA SECA
CL SABINAR,CHURRA
CL SACERDOTE ANTONIO VALVERD,CABEZO TORRES
CL SACERDOTE FCO GALVEZ VELA,ALQUERIAS
CL SACERDOTE JOSE URRIZA,SANGONERA VERDE
CL SACERDOTE JUAN SANCHEZ,SANGONERA VERDE
CL SACERDOTES HERMANOS CERON,MURCIA
CL SACRISTIA,ALBERCA LA
CL SACRISTIA,ERA ALTA
CL SACRISTIA SAN MIGUEL,MURCIA
CL SAFO,BENIAJAN
CL SAGASTA,ESPARRAGAL
CL SAGASTA,MURCIA
CL SAGITARIO,SANGONERA VERDE
CL SAGRADA FAMILIA,SAN BENITO
CL SAGRADO CORAZON,EL PALMAR
CL SAINT ANDREWS,GEA Y TRUYOLS
CL SALAZAR,ZARANDONA
CL SALCILLO,SAN JOSE
CL SAL,DOLORES LOS
CL SALESIANO PACO SILVESTRE,CABEZO TORRES
CL SALESIANO SALVADOR OLIVEL,CABEZO TORRES
CL SALESIANOS,CABEZO TORRES
CL SALITRE,ALBERCA LA
CL SALITRE,ALGEZARES
CL SALVADOR ALLENDE,SANGONERA VERDE
CL SALVADOR DALI,DOLORES LOS
CL SALVADOR DALI,PUNTAL EL
CL SALVADOR DALI,SANGONERA SECA
CL SALVADOR DALI,SANGONERA VERDE
CL SALVADOR DALI,VALLADOLISES
CL SALVADOR DE MADARIAGA,RAMOS LOS
CL SALVADOR DE MADARIAGA,SANGONERA SECA
CL SALVADOR ESPIN NOGUERA,SANGONERA VERDE
CL SALVADOR MADARIAGA,MURCIA
CL SALVADOR MADARIAGA,SANGONERA SECA
CL SALVADOR MARTINEZ MOYA,CASILLAS
CL SALVADOR REAL,BENIAJAN
CL SALVADOR RUEDA,MURCIA
CL SALVAORES,ZARANDONA
CL SALZILLO,ALBERCA LA
CL SALZILLO,ALGEZARES
CL SALZILLO,CABEZO TORRES
CL SALZILLO,EL BOJAR
CL SALZILLO,EL PALMAR
CL SALZILLO,ERA ALTA
CL SALZILLO,GUADALUPE
CL SALZILLO,MARTINEZ PUERTO
CL SALZILLO,MONTEAGUDO
CL SALZILLO,PUENTE TOCINOS
CL SALZILLO,PUNTAL EL
CL SALZILLO,RAYA LA
CL SALZILLO,SANGONERA SECA
CL SALZILLO,SANGONERA VERDE
CL SALZILLO,SANTO ANGEL
CL SALZILLO,SUCINA
CL SAN AGUSTIN,EL SECANO
CL SAN AMANCIO,EL PALMAR
CL SAN ANDRES,GEA Y TRUYOLS
CL SAN ANDRES,JERON.-AVILESES
CL SAN ANDRES,MARTINEZ PUERTO
CL SAN ANDRES,MURCIA
CL SAN ANDRES,PUNTAL EL
CL SAN ANTON ABAD,EL BOJAR
CL SAN ANTONIO,ALBERCA LA
CL SAN ANTONIO,ALGEZARES
CL SAN ANTONIO,BARQUEROS
CL SAN ANTONIO,BENIAJAN
CL SAN ANTONIO,CABEZO TORRES
CL SAN ANTONIO,CASILLAS
CL SAN ANTONIO,CHURRA
CL SAN ANTONIO,CORVERA
CL SAN ANTONIO DE PADUA,LOBOSILLO
CL SAN ANTONIO,EL PALMAR
CL SAN ANTONIO,EL SECANO
CL SAN ANTONIO,ERA ALTA
CL SAN ANTONIO,ESPARRAGAL
CL SAN ANTONIO,GEA Y TRUYOLS
CL SAN ANTONIO,GUADALUPE
CL SAN ANTONIO,JAVALI NUEVO
CL SAN ANTONIO,JAVALI VIEJO
CL SAN ANTONIO,LOBOSILLO
CL SAN ANTONIO,MURCIA
CL SAN ANTONIO POBRE,ALBERCA LA
CL SAN ANTONIO,PUEBLA DE SOTO
CL SAN ANTONIO,PUENTE TOCINOS
CL SAN ANTONIO,PUNTAL EL
CL SAN ANTONIO,RAAL EL
CL SAN ANTONIO,RAMOS LOS
CL SAN ANTONIO,RAYA LA
CL SAN ANTONIO,RINCON SECA
CL SAN ANTONIO,SANGONERA VERDE
CL SAN ANTONIO,SAN JOSE
CL SAN ANTONIO(STA M DE GRAC,MURCIA
CL SAN ANTONIO,TORREAGUERA
CL SAN ANTON,MURCIA
CL SAN ANTON,SAN JOSE
CL SAN BARTOLOME,EL PALMAR
CL SAN BARTOLOME,JAVALI NUEVO
CL SAN BARTOLOME,MURCIA
CL SAN BASILIO,EL PALMAR
CL SAN BASILIO,MURCIA
CL SAN BENITO,GEA Y TRUYOLS
CL SAN BENITO,MURCIA
CL SAN BERNABE,JAVALI NUEVO
CL SAN BLAS,ALGEZARES
CL SAN BLAS,EL SECANO
CL SAN BLAS,SAN BENITO
CL SAN BLAS,SANGONERA VERDE
CL SAN BLAS,SAN JOSE
CL SAN CARLOS,MURCIA
CL SAN CARLOS,PUNTAL EL
CL SAN CAYETANO,BARQUEROS
CL SAN CAYETANO,MONTEAGUDO
CL SAN CELESTINO,SANGONERA SECA
CL SANCHEZ BUENDIA,ALBERCA LA
CL SANCHEZ MADRIGAL,MURCIA
CL SANCHEZ MADRIGAL,PUNTAL EL
CL SANCHEZ MAURANDI,MURCIA
CL SANCHEZ NAVARRO,ALQUERIAS
CL SANCHEZ POZUELO,MURCIA
CL SANCHEZ Y CASTEJON,LOBOSILLO
CL SANCHO,MURCIA
CL SANCHO,SANGONERA VERDE
CL SAN CRISTOBAL (ESPINARDO),MURCIA
CL SAN CRISTOBAL,GEA Y TRUYOLS
CL SAN CRISTOBAL,MURCIA
CL SAN CRISTOBAL,PUNTAL EL
CL SAN CRISTOBAL,ZARANDONA
CL SAN DIEGO,EL PALMAR
CL SAN DIEGO,MURCIA
CL SAN EUSTAQUIO,SANGONERA SECA
CL SAN FELIX,CORVERA
CL SAN FELIX,MURCIA
CL SAN FELIX,ZARANDONA
CL SAN FERMIN,MURCIA
CL SAN FERNANDO,ALBERCA LA
CL SAN FERNANDO,EL PALMAR
CL SAN FERNANDO,MURCIA
CL SAN FERNANDO,TORREAGUERA
CL SAN FRANCISCO,ALGEZARES
CL SAN FRANCISCO,ALQUERIAS
CL SAN FRANCISCO,BARQUEROS
CL SAN FRANCISCO,BENIAJAN
CL SAN FRANCISCO DE ASIS,SAN BENITO
CL SAN FRANCISCO(EL CARMEN),MURCIA
CL SAN FRANCISCO,EL PALMAR
CL SAN FRANCISCO,GARRES LOS
CL SAN FRANCISCO,JAVALI NUEVO
CL SAN FRANCISCO,JAVALI VIEJO
CL SAN FRANCISCO JAVIER,ALBERCA LA
CL SAN FRANCISCO,LOBOSILLO
CL SAN FRANCISCO,PUENTE TOCINOS
CL SAN FRANCISCO,RAMOS LOS
CL SAN FRANCISCO,RINCON SECA
CL SAN FRANCISCO,SANTO ANGEL
CL SAN FRANCISCO(S BENITO-PA,MURCIA
CL SAN FRANCISCO(STGO Y ZARA,MURCIA
CL SAN FRANCISCO,TORREAGUERA
CL SAN FULGENCIO,EL PALMAR
CL SAN FULGENCIO,RAAL EL
CL SAN FULGENCIO,SANTO ANGEL
CL SAN FULGENCIO,TORREAGUERA
CL SAN GINES,ALBATALIA LA
CL SAN GINES,CHURRA
CL SAN GINES(SAN ANDRES),MURCIA
CL SAN GINES,SAN JOSE
CL SAN GONZALO,SANGONERA VERDE
CL SAN IGNACIO,CARRASCOY
CL SAN IGNACIO LOYOLA,MURCIA
CL SAN IGNACIO,MURCIA
CL SAN ISIDORO DE SEVILLA,LA CUEVA
CL SAN ISIDORO,MURCIA
CL SAN ISIDRO,BARQUEROS
CL SAN ISIDRO,CHURRA
CL SAN ISIDRO,LOBOSILLO
CL SAN ISIDRO,MURCIA
CL SAN ISIDRO,PUENTE TOCINOS
CL SAN JAIME,MARTINEZ PUERTO
CL SAN JAVIER,JERON.-AVILESES
CL SAN JERONIMO,JAVALI VIEJO
CL SAN JOAQUIN,MURCIA
CL SAN JORGE,ALQUERIAS
CL SAN JORGE,EL PALMAR
CL SAN JORGE,TORREAGUERA
CL SAN JOSE,ALBERCA LA
CL SAN JOSE,ALGEZARES
CL SAN JOSE,BARQUEROS
CL SAN JOSE,CABEZO TORRES
CL SAN JOSE,CARRASCOY
CL SAN JOSE,CASILLAS
CL SAN JOSE,CHURRA
CL SAN JOSE,COBATILLAS
CL SAN JOSE,CORVERA
CL SAN JOSE DE CALASANZ,ALQUERIAS
CL SAN JOSE,DOLORES LOS
CL SAN JOSE,EL PALMAR
CL SAN JOSE,ESPARRAGAL
CL SAN JOSE,GARRES LOS
CL SAN JOSE,GUADALUPE
CL SAN JOSE,JAVALI NUEVO
CL SAN JOSE,JAVALI VIEJO
CL SAN JOSE,LA CUEVA
CL SAN JOSE,LOBOSILLO
CL SAN JOSEMARIA ESCRIVA,CABEZO TORRES
CL SAN JOSE OBRERO,ALBERCA LA
CL SAN JOSE OBRERO E,GARRES LOS
CL SAN JOSE OBRERO,EL BOJAR
CL SAN JOSE OBRERO,GARRES LOS
CL SAN JOSE OBRERO,PUENTE TOCINOS
CL SAN JOSE OBRERO,SAN BENITO
CL SAN JOSE,PUENTE TOCINOS
CL SAN JOSE,PUNTAL EL
CL SAN JOSE,RAAL EL
CL SAN JOSE,RAMOS LOS
CL SAN JOSE,RAYA LA
CL SAN JOSE,SANGONERA VERDE
CL SAN JOSE (SAN JUAN),MURCIA
CL SAN JOSE(STA MARIA DE GRA,MURCIA
CL SAN JOSE,SUCINA
CL SAN JOSE,S.Y ZARAICHE
CL SAN JUAN,ALBERCA LA
CL SAN JUAN,ALGEZARES
CL SAN JUAN,ALQUERIAS
CL SAN JUAN,BARQUEROS
CL SAN JUAN BAUTISTA,BENIAJAN
CL SAN JUAN,CHURRA
CL SAN JUAN DE LA CRUZ,CABEZO TORRES
CL SAN JUAN DIOS,MURCIA
CL SAN JUAN (ESPINARDO),MURCIA
CL SAN JUAN,GARRES LOS
CL SAN JUAN,GEA Y TRUYOLS
CL SAN JUAN,GUADALUPE
CL SAN JUAN,JAVALI VIEJO
CL SAN JUAN,MURCIA
CL SAN JUAN,PUENTE TOCINOS
CL SAN JUAN,PUNTAL EL
CL SAN JUAN,RAMOS LOS
CL SAN JUAN,SAN BENITO
CL SAN JUAN,SANGONERA SECA
CL SAN JUAN,SANGONERA VERDE
CL SAN JUAN,SAN JOSE
CL SAN JULIAN,SANGONERA VERDE
CL SAN JUSTO,JAVALI VIEJO
CL SAN LEANDRO,MURCIA
CL SAN LORENZO,BENIAJAN
CL SAN LORENZO,MURCIA
CL SAN LUCAS,MURCIA
CL SAN LUCAS,SANGONERA VERDE
CL SAN LUIS,ALBERCA LA
CL SAN LUIS,CHURRA
CL SAN LUIS GONZAGA,MURCIA
CL SAN LUIS,JAVALI NUEVO
CL SAN LUIS,MURCIA
CL SAN LUIS,TORREAGUERA
CL SAN MAGIN,MURCIA
CL SAN MANUEL,ALBERCA LA
CL SAN MANUEL,SAN BENITO
CL SAN MANUEL,SAN JOSE
CL SAN MARCOS,CASILLAS
CL SAN MARCOS,MURCIA
CL SAN MARTIN PORRES,MURCIA
CL SAN MATEO,CHURRA
CL SAN MATEO,MURCIA
CL SAN MATEO,RAAL EL
CL SAN MATEO,SANGONERA VERDE
CL SAN MATEO,SAN JOSE
CL SAN MIGUEL,ALGEZARES
CL SAN MIGUEL,EL PALMAR
CL SAN MIGUEL,MARTINEZ PUERTO
CL SAN MIGUEL,MURCIA
CL SAN MIGUEL,PUNTAL EL
CL SAN MIGUEL,SAN BENITO
CL SAN MIGUEL,SAN JOSE
CL SAN NICOLAS,CORVERA
CL SAN NICOLAS,ESPARRAGAL
CL SAN NICOLAS,JAVALI VIEJO
CL SAN NICOLAS,MURCIA
CL SAN NICOLAS,PUENTE TOCINOS
CL SAN NICOLAS,SANGONERA VERDE
CL SAN NICOLAS,TORREAGUERA
CL SAN PABLO,MURCIA
CL SAN PABLO,SAN BENITO
CL SAN PANCRANCIO,JAVALI NUEVO
CL SAN PASCUAL,MURCIA
CL SAN PASCUAL,PUNTAL EL
CL SAN PATRICIO,BENIAJAN
CL SAN PATRICIO,MURCIA
CL SAN PATRICIO,ZARANDONA
CL SAN PEDRO,ALGEZARES
CL SAN PEDRO APOSTOL,LOBOSILLO
CL SAN PEDRO,BARQUEROS
CL SAN PEDRO,BENIAJAN
CL SAN PEDRO,CABEZO TORRES
CL SAN PEDRO DEL PINATAR,JERON.-AVILESES
CL SAN PEDRO,EL PALMAR
CL SAN PEDRO,GEA Y TRUYOLS
CL SAN PEDRO,GUADALUPE
CL SAN PEDRO,JAVALI NUEVO
CL SAN PEDRO,JAVALI VIEJO
CL SAN PEDRO,LA CUEVA
CL SAN PEDRO,LLANO BRUJAS
CL SAN PEDRO,MARTINEZ PUERTO
CL SAN PEDRO,MONTEAGUDO
CL SAN PEDRO,MURCIA
CL SAN PEDRO,PUNTAL EL
CL SAN PEDRO,RAMOS LOS
CL SAN PEDRO,SANGONERA SECA
CL SAN PEDRO,SANGONERA VERDE
CL SAN PEDRO,SUCINA
CL SAN PIO X,SANTO ANGEL
CL SAN POLICARPO,RAMOS LOS
CL SAN RAMON,COBATILLAS
CL SAN RAMON,MURCIA
CL SAN RAMON,RAAL EL
CL SAN RAMON,TORREAGUERA
CL SAN ROQUE,ALBERCA LA
CL SAN ROQUE,ALGEZARES
CL SAN ROQUE,EL PALMAR
CL SAN ROQUE,GEA Y TRUYOLS
CL SAN ROQUE,GUADALUPE
CL SAN SEBASTIAN,TORREAGUERA
CL SAN SILVESTRE,GARRES LOS
CL SANTA ANA,ALGEZARES
CL SANTA ANA,EL PALMAR
CL SANTA ANA,ESPARRAGAL
CL SANTA ANA,MURCIA
CL SANTA ANA,RINCON SECA
CL SANTA ANA,SAN BENITO
CL SANTA ANA,SAN JOSE
CL SANTA ANGELA,MURCIA
CL SANTA BARBARA,ESPARRAGAL
CL SANTA BARBARA,MURCIA
CL SANTA CATALINA,BARQUEROS
CL SANTA CATALINA,MARTINEZ PUERTO
CL SANTA CATALINA MONTE,ALBERCA LA
CL SANTA CATALINA,MURCIA
CL SANTA CECILIA,GUADALUPE
CL SANTA CECILIA,MURCIA
CL SANTA CECILIA,S.Y ZARAICHE
CL SANTA CLARA,MURCIA
CL SANTA CRISTINA,SANGONERA SECA
CL SANTA CRUZ,PUNTAL EL
CL SANTA CRUZ,RAAL EL
CL SANTA ELENA,ESPARRAGAL
CL SANTA ELENA,JAVALI VIEJO
CL SANTA EULALIA,EL SECANO
CL SANTA FE,GARRES LOS
CL SANTA GEMA GALGANI,SANGONERA SECA
CL SANTA GEMA,GUADALUPE
CL SANTA GEMA,JAVALI NUEVO
CL SANTA ISABEL,EL PALMAR
CL SANTA ISABEL,MURCIA
CL SANTA ISABEL,PUEBLA DE SOTO
CL SANTA ISABEL,SANGONERA VERDE
CL SANTA ISABEL(STA M DE GRA,MURCIA
CL SANTA JOAQUINA VEDRUNA,MURCIA
CL SANTA LUCIA,GARRES LOS
CL SANTA LUCIA,MURCIA
CL SANTA LUCIA,SAN GINES
CL SANTA MARIA,CABEZO TORRES
CL SANTA MARIA,ESPARRAGAL
CL SANTA MARIA LA,CORVERA
CL SANTA MARIA,PUNTAL EL
CL SANTA MARIA ROSA MOLAS,MURCIA
CL SANTA MARIA,SANGONERA VERDE
CL SANTA MARTA,MURCIA
CL SANTA QUITERIA,MURCIA
CL SANTA RITA,MURCIA
CL SANTA RITA,SAN BENITO
CL SANTA ROSA DE LIMA,EL BOJAR
CL SANTA ROSALIA,MURCIA
CL SANTA ROSA LIMA,CORVERA
CL SANTA ROSA,MURCIA
CL SANTA TERESA,ALBERCA LA
CL SANTA TERESA,CABEZO TORRES
CL SANTA TERESA,MURCIA
CL SANTA TERESA,PUEBLA DE SOTO
CL SANTA TERESA,RAMOS LOS
CL SANTA TERESA,SAN GINES
CL SANTA URSULA,MURCIA
CL SANTA VIRTUDES,EL PALMAR
CL SANTIAGO,ALBERCA LA
CL SANTIAGO,ALGEZARES
CL SANTIAGO APOSTOL,GUADALUPE
CL SANTIAGO APOSTOL,PUNTAL EL
CL SANTIAGO,DOLORES LOS
CL SANTIAGO,LOBOSILLO
CL SANTIAGO,MURCIA
CL SANTIAGO NAVARRO,PUNTAL EL
CL SANTIAGO,TORREAGUERA
CL SANTIAGO,ZARANDONA
CL SANTISIMO CRISTO,GARRES LOS
CL SANTISIMO,MURCIA
CL SANTO ANGEL DE LA GUARDA,SAN BENITO
CL SANTO CRISTO,BARQUEROS
CL SANTO CRISTO,GARRES LOS
CL SANTO CRISTO,GUADALUPE
CL SANTO CRISTO,MURCIA
CL SANTO CRISTO SALUD,MURCIA
CL SANTO CRISTO VALLE,TORREAGUERA
CL SANTO DOMINGO,ALJUCER
CL SANTO DOMINGO,BARQUEROS
CL SANTO DOMINGO,MURCIA
CL SANTO DOMINGO,SANTO ANGEL
CL SANTO DOMINGO SAVIO,CABEZO TORRES
CL SANTO DOMINGO,TORREAGUERA
CL SANTOMERA,JERON.-AVILESES
CL SANTOMERA,MURCIA
CL SANTOMERA,RAAL EL
CL SANTOS ANGELES CUSTODIOS,MARTINEZ PUERTO
CL SANTOS MARQUESA,EL PALMAR
CL SANTO TOMAS,MURCIA
CL SAN VALENTIN,BENIAJAN
CL SAN VICENTE DE PAUL,MURCIA
CL SAN VICENTE,EL PALMAR
CL SAN VICENTE FERRER,SANTO ANGEL
CL SAN VICENTE,RAAL EL
CL SARDOY,MURCIA
CL SARGENTO ANGEL TORNEL,MURCIA
CL SASTRE,ESPARRAGAL
CL SATURNO,CABEZO TORRES
CL SATURNO,MURCIA
CL SATURNO,RAMOS LOS
CL SAUCE,EL PALMAR
CL SAUCE,ESPARRAGAL
CL SAUCE,MURCIA
CL SAUCE,SANTO ANGEL
CL SAUCES,CHURRA
CL SECANO,ALQUERIAS
CL SECTOR ZB-PM7,EL PALMAR
"CL SEDA, LA",ZARANDONA
CL SEDA,MURCIA
CL SEDA,PUENTE TOCINOS
CL SEDA,RAAL EL
CL SEGADO DEL OLMO,MURCIA
CL SEGOVIA,MURCIA
CL SEGURA,MURCIA
CL SEGURA,RAAL EL
CL SELENE-RSID PALMAR 12,EL PALMAR
CL SELGAS,ALGEZARES
CL SELGAS,MURCIA
CL SEMOLA,MURCIA
CL SENDA BONITA,EL PALMAR
CL SENDA PICAZO,MURCIA
CL SENDA TIA ANA,ALBATALIA LA
CL SENECA,SANGONERA VERDE
CL SEQUEN,SANTO ANGEL
CL SEQUOIA,ALBERCA LA
CL SERICICOLA,SANTO ANGEL
CL SERRANO ALCAZAR,MURCIA
CL SERRANO,CASILLAS
CL SERRANO,MURCIA
CL SERRANO,RAMOS LOS
CL SERRANO,SAN JOSE
CL SERRANOS,SANTA CRUZ
CL SERRANO,TORREAGUERA
CL SEVERO OCHOA,ALBERCA LA
CL SEVERO OCHOA,PUENTE TOCINOS
